dp,minDist,param1,param2,minRadius,maxRadius,f1_score
1.0,24.0,300.0,21.0,9.0,25.0,0.618792266120198
1.0,24.0,200.0,21.0,9.0,25.0,0.618792266120198
1.0,27.0,150.0,18.0,9.0,20.0,0.6184650037137089
1.0,27.0,250.0,18.0,9.0,20.0,0.6184650037137089
1.0,27.0,200.0,18.0,9.0,20.0,0.6184650037137089
1.0,27.0,300.0,18.0,9.0,20.0,0.6184650037137089
1.0,18.0,300.0,24.0,5.0,25.0,0.6182162574511156
1.0,18.0,200.0,24.0,5.0,25.0,0.6182162574511156
1.0,18.0,250.0,24.0,5.0,25.0,0.6182162574511156
1.0,18.0,150.0,24.0,5.0,25.0,0.6182162574511156
1.0,21.0,250.0,23.0,5.0,25.0,0.6178840194222409
1.0,21.0,200.0,23.0,5.0,25.0,0.6178840194222409
1.0,21.0,300.0,23.0,5.0,25.0,0.6178840194222409
1.0,21.0,150.0,23.0,5.0,25.0,0.6178840194222409
1.0,15.0,300.0,21.0,5.0,20.0,0.6169805357156093
1.0,15.0,250.0,21.0,5.0,20.0,0.6169805357156093
1.0,15.0,200.0,21.0,5.0,20.0,0.6169805357156093
1.0,15.0,150.0,21.0,5.0,20.0,0.6169805357156093
1.0,15.0,200.0,17.0,9.0,20.0,0.6161458050833581
1.0,15.0,300.0,17.0,9.0,20.0,0.6161458050833581
1.0,15.0,150.0,17.0,9.0,20.0,0.6161458050833581
1.0,15.0,250.0,17.0,9.0,20.0,0.6161458050833581
1.0,27.0,150.0,24.0,5.0,25.0,0.6155102722717007
1.0,27.0,300.0,24.0,5.0,25.0,0.6155102722717007
1.0,27.0,250.0,24.0,5.0,25.0,0.6155102722717007
1.0,27.0,200.0,24.0,5.0,25.0,0.6155102722717007
1.0,24.0,300.0,21.0,5.0,20.0,0.6154441285511669
1.0,24.0,250.0,21.0,5.0,20.0,0.6154441285511669
1.0,24.0,150.0,21.0,5.0,20.0,0.6154441285511669
1.0,24.0,200.0,21.0,5.0,20.0,0.6154441285511669
1.0,24.0,150.0,18.0,5.0,20.0,0.6152176168389185
1.0,24.0,300.0,18.0,5.0,20.0,0.6152176168389185
1.0,24.0,250.0,18.0,5.0,20.0,0.6152176168389185
1.0,24.0,200.0,18.0,5.0,20.0,0.6152176168389185
1.0,27.0,150.0,16.0,9.0,20.0,0.6150675887753206
1.0,27.0,200.0,16.0,9.0,20.0,0.6150675887753206
1.0,27.0,300.0,16.0,9.0,20.0,0.6150675887753206
1.0,27.0,250.0,16.0,9.0,20.0,0.6150675887753206
1.0,21.0,250.0,21.0,9.0,25.0,0.6149859511765826
1.0,21.0,200.0,21.0,9.0,25.0,0.6149859511765826
1.0,21.0,300.0,21.0,9.0,25.0,0.6149859511765826
